Date,open,high,low,close,adj close,volume
2013-01-02,145.11,146.15,144.73,146.06,129.09,192059000
2013-01-03,145.99,146.37,145.34,145.73,128.8,144761800
2013-01-04,145.97,146.61,145.67,146.37,129.37,116817700
2013-01-07,145.85,146.11,145.43,145.97,129.01,110002500
2013-01-08,145.71,145.91,144.98,145.55,128.64,121265100
2013-01-09,145.87,146.32,145.64,145.92,128.97,90745600
2013-01-10,146.73,147.09,145.97,147.08,129.99,130735400
2013-01-11,147.04,147.15,146.61,147.07,129.99,113917300
2013-01-14,146.89,147.07,146.43,146.97,129.9,89567200
2013-01-15,146.29,147.21,146.2,147.07,129.99,93172600
2013-01-16,146.77,147.28,146.61,147.05,129.97,104849500
2013-01-17,147.7,148.42,147.15,148.0,130.81,133833500
2013-01-18,147.97,148.49,147.43,148.33,131.1,169906000
2013-01-22,148.33,149.13,147.98,149.13,131.81,111797300
2013-01-23,149.13,149.5,148.86,149.37,132.02,104596100
2013-01-24,149.15,150.14,149.01,149.41,132.05,146426400
2013-01-25,149.88,150.25,149.37,150.25,132.8,147211600
2013-01-28,150.29,150.33,149.51,150.07,132.64,113357700
2013-01-29,149.77,150.85,149.67,150.66,133.16,105694400
2013-01-30,150.64,150.94,149.93,150.07,132.64,137447700
2013-01-31,149.89,150.38,149.6,149.7,132.31,108975800
2013-02-01,150.65,151.42,150.39,151.24,133.67,131173000
2013-02-04,150.32,151.27,149.43,149.54,132.17,159073600
2013-02-05,150.35,151.48,150.29,151.05,133.5,113912400
2013-02-06,150.52,151.26,150.41,151.16,133.6,138762800
2013-02-07,151.21,151.35,149.86,150.96,133.42,162490000
2013-02-08,151.22,151.89,151.22,151.8,134.17,103133700
2013-02-11,151.74,151.9,151.39,151.77,134.14,73775000
2013-02-12,151.78,152.3,151.61,152.02,134.36,65392700
2013-02-13,152.33,152.61,151.72,152.15,134.48,82322600
2013-02-14,151.69,152.47,151.52,152.29,134.6,80834300
2013-02-15,152.43,152.59,151.55,152.11,134.44,215226500
2013-02-19,152.37,153.28,152.16,153.25,135.45,95105400
2013-02-20,153.14,153.19,151.26,151.34,133.76,160574800
